;;;;;;;;;;;;;;
SEI for NI and BB 2017-2019 (SWD and PRE);;;;;;;;;;;;;;
BL;year;CTC;n;mean IACS;mean CTC;mean of differences;p-value (t-test);sd IACS;sd CTC;Rý;RMSE;p-value (ks);D (ks);
BB;2017;SWD;28859;0.25;0.23;0.036;0;0.17;0.16;0.72;0.08;0;0.08;
BB;2018;SWD;28859;0.25;0.23;0.028;0;0.17;0.16;0.71;0.09;0;0.05;
BB;2019;SWD;28859;0.25;0.23;0.027;0;0.16;0.16;0.70;0.09;0;0.06;
BB;2017;PRE;28859;0.25;0.25;0.005;0.00;0.16;0.17;0.64;0.10;0.00;0.04;
BB;2018;PRE;28859;0.25;0.26;0.005;0.00;0.17;0.17;0.73;0.09;0.00;0.03;
BB;2019;PRE;28859;0.25;0.25;0.000;0.48;0.16;0.17;0.70;0.09;0.00;0.04;
NI;2017;SWD;46543;0.36;0.35;0.020;0;0.17;0.18;0.84;0.07;0;0.03;
NI;2018;SWD;46543;0.36;0.35;0.016;0;0.17;0.18;0.83;0.07;0;0.02;
NI;2019;SWD;46543;0.35;0.33;0.026;0;0.17;0.18;0.84;0.06;0;0.05;
NI;2017;PRE;46543;0.37;0.34;0.030;0;0.17;0.17;0.80;0.07;0;0.06;
NI;2018;PRE;46543;0.37;0.36;0.009;0.00;0.17;0.18;0.79;0.08;0.00;0.02;
NI;2019;PRE;46543;0.35;0.35;0.009;0.00;0.17;0.17;0.83;0.07;0.00;0.02;
;;;;;;;;;;;;;;
