Titel;DOI
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
ITS sequences from Perenniporia meridionalis;10.1007/s00253-024-13089-3
The Proteomic Composition and Organization of Constitutive Heterochromatin in Mouse Tissues;10.3390/cells13020139
Improving color sources by plant breeding and cultivation;10.1016/B978-0-08-100371-8.00019-1
Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.1007/s00253-024-13089-3
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.3220/DATA20240219102640-0
Fungal and Bacterial Diversity of exterior construction timber;10.1007/s00253-024-13089-3
Ecotypic variation in multiple traits of European beech - selection of suitable provenances based on performance and stability [Preprint];10.21203/rs.3.rs-3387770/v1
dated phylogeny of the Neotropical Dipterygeae clade reveals 30 million years of winged papilionate floral conservatism in the otherwise florally labile early-branching papilionoid legumes;10.1093/botlinnean/boad003
Plant invasion threatens coastal blue carbon sequestration;10.1002/bes2.2030
Genetic diversity and structure of Siberian Stone Pine (Pinus sibirica Du Tour) populations;10.2478/sg-2023-0003
"Floristischen Artenvielfalt der durch den Ackerbau dominierten
Agrarlandschaft";10.5073/20230719-142513-0
contribution of Horticulture 4.0 innovations to more sustainable horticulture;10.1016/j.procs.2022.12.242
Sexual reproduction in two mixed stands of coastal and interior Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco) in Germany;10.1007/s10342-022-01514-z
small set of nuclear markers for reliable differentiation of the two closely related oak species Quercus robur and Q. petraea;10.3390/plants12030566
German Gene Bank of Ornamentals: Focus on the Subnetwork Pelargonium;10.5288/dgg-pr-11-06-sp-2023
Introgression as an important driver of geographic genetic differentiation within European white oaks;10.3390/f14122279
Distinct responses of European beech (Fagus sylvatica L.) to drought intensity and length - A review of the impacts of the 2003 and 2018-2019 drought events in Central Europe;10.3390/f14020248
Floristische Artenvielfalt;10.5073/20230719-142513-0
Forest values and application of different management activities among small-scale forest owners in five EU countries;10.1016/j.forpol.2022.102881
Forest subsidy distribution in five European countries;10.1016/j.forpol.2022.102882
First insights into the genome of ‘Candidatus Phytoplasma rubi’ highlight effector protein repertoire of 16SrV phytoplasmas;10.5958/2249-4677.2023.00006.3
Epidemiology of pear decline in orchards without vector control in Southwest Germany;10.5958/2249-4677.2023.00024.5
Development of multilevel monitoring systems for the identification of phytoplasma diseases in German viticultural areas;10.5958/2249-4677.2023.00067.1
Leaf reddening as suitable symptom of pear decline for remote sensing;10.5958/2249-4677.2023.00069.5
A small set of nuclear markers for reliable differentiation of the two closely related oak species Quercus robur and Q. petraea;10.3390/plants12030566
Informal employment in the forest sector: A scoping review;10.3390/f13030460
Physiological performance and biomass growth of different black locust origins growing on a post-mining reclamation site in Eastern Germany;10.3390/f13020315
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part I: Measuring temporal dynamics;10.5194/bg-19-389-2022
Tree species mapping for German forests;10.3220/PB1646732321000
Genomic Designing for Biotic Stress Resistant Fruit Crops;10.1007/978-3-030-91802-6
Der Einfluss von Wald und Witterung auf die Tiefenversickerung;10.3220/PB1643027675000
Wie sich der Anbau der Durchwachsenen Silphie auf THG-Emissionen und Boden-Biodiversität auswirkt;10.3220/PB1669629146000
"Forest condition in Europe : The 2022 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1656330928000
Einfluss menschlicher Lebensstile auf die Pflanzenvielfalt in Gärten und auf Freiflächen;10.5771/9783835349308-175
Seasonal phosphorus and nitrogen cycling in four Japanese cool-temperate forest species;10.1007/s11104-021-05251-x
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part II: Modeling annual budgets;10.5194/bg-19-5287-2022
The mitochondrial genome sequence of Abies alba Mill. reveals a high structural and combinatorial variation;10.1186/s12864-022-08993-9
Analysing gap dynamics in forest canopies with landscape metrics based on multi-temporal airborne laser scanning surveys - A pilot study;10.1016/j.ecolind.2022.109627
Long-term forest monitoring reveals constant mortality rise in European forests;10.1111/plb.13469
evidence and gap map of the environmental Kuznets curve and the forest transition hypothesis for estimating forest area development;10.1088/1748-9326/aca781
The implications of remittances for agricultural land use and fuelwood collection: Evidence from the remaining forested landscapes in the Philippines;10.1088/1748-9326/ac44c4
Studies on European rust fungi, Pucciniales: molecular phylogeny, taxonomy, and nomenclature of miscellaneous genera and species in Pucciniastraceae and Coleosporiaceae;10.1007/s11557-022-01810-3
Supply of wood processing residues - a basic calculation approach and its application on the example of wood packaging;10.1016/j.tfp.2022.100199
A multigene phylogeny of native American hawkweeds (Hieracium Subgen. Chionoracium, Cichorieae, Asteraceae) : origin, speciation patterns, and migration routes;10.3390/plants11192584
Genomic characterization of Aureimonas altamirensis C2P003 - a specific member of the microbiome of Fraxinus excelsior trees tolerant to ash dieback;10.3390/plants11243487
Quantitative trait loci related to growth and wood quality traits in Eucalyptus grandis W. Hill identified through single- and multi-trait genome-wide association studies;10.1007/s11295-022-01570-x
Hidden behind the mask: An authentication study on the Aztec mask of the Museum of Ethnography, Budapest, Hungary;10.1016/j.forsciint.2022.111236
Climate-change-driven growth decline of European beech forests;10.1038/s42003-022-03107-3
Annals of Forest Science promotes multidisciplinary research on forests and wood in a changing world and is now a full Open Access journal;10.1186/s13595-022-01119-x
European-wide forest monitoring substantiate the neccessity for a joint conservation strategy to rescue European ash species (Fraxinus spp.);10.1038/s41598-022-08825-6
Plant invasion reconstructs soil microbial assembly and functionality in coastal salt marshes;10.1111/mec.16600
constitutively active cytokinin receptor variant increases cambial activity and stem growth in poplar;10.3390/ijms23158321
Tree genetic engineering, genome editing and genomics;10.3390/ijms232213980
Simulating tree growth response to climate change in structurally diverse oak and beech forests;10.1016/j.scitotenv.2021.150422
Simulating tree growth response to climate change in structurally-diverse oak and beech forests;10.1016/j.scitotenv.2021.150422
Anatomical and topochemical features of the genera Acacia, Acaciella, Senegalia and Vachellia;10.1163/22941932-bja10093
Khaya revisited: Genetic markers and morphological analysis reveal six species in the widespread taxon K. anthotheca;10.1002/tax.12720
What is the contribution of forest-related income to rural livelihood strategies in the Philippines' remaining forested landscapes?;10.1016/j.forpol.2021.102658
Silver birch shows nonlinear responses to moisture availability and temperature in the eastern Baltic Sea region;10.1016/j.dendro.2022.126003
