Perenniporia meridionalis genomic DNA sequence contains,10.1007/s00253-024-13089-3
ITS sequences from Perenniporia meridionalis,10.1007/s00253-024-13089-3
The Proteomic Composition and Organization of Constitutive Heterochromatin in Mouse Tissues,10.3390/cells13020139
Improving color sources by plant breeding and cultivation,10.1016/B978-0-08-100371-8.00019-1
Identifying environmental factors affecting the microbial community composition on outdoor structural timber,10.1007/s00253-024-13089-3
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber,10.3220/DATA20240219102640-0
Fungal and Bacterial Diversity of exterior construction timber,10.1007/s00253-024-13089-3
Ecotypic variation in multiple traits of European beech - selection of suitable provenances based on performance and stability [Preprint],10.21203/rs.3.rs-3387770/v1
dated phylogeny of the Neotropical Dipterygeae clade reveals 30 million years of winged papilionate floral conservatism in the otherwise florally labile early-branching papilionoid legumes,10.1093/botlinnean/boad003
Plant invasion threatens coastal blue carbon sequestration,10.1002/bes2.2030
Genetic diversity and structure of Siberian Stone Pine (Pinus sibirica Du Tour) populations,10.2478/sg-2023-0003
