Warm winter 2020 ecosystem eddy covariance flux product from Gebesee;10.18160/KVAC-KYEX
Pflanzensteckbriefe;10.48480/cz89-1p73
Modellierungsergebnisse zur Nutzwärmeerzeugung für Teilmärkte mit Ein- und Zweifamilienhäusern und verschiedene Klimaschutzszenarien und Biomassepotenziale (2015-2050);10.17632/2t7nf25pgd.1
OptDienE;10.17632/58b9xks7sz.1
Mare-MAGE database A curated reference database of fish mitochondrial genes;10.6084/M9.FIGSHARE.C.5410161.V5
Rasters for ALS metrics at 1000m² resolution;10.25625/TJNWUI
Land use maps 2020 based on LiDAR;10.25625/LOPQ2K
Landscape Assessment plots maps (with RGB, canopy height, NDVI and 3d point cloud);10.25625/MDWJR3
Landscape Assessment (LA) hyperspectral vegetation indices;10.25625/1LI57Z
Core plots hyperspectral vegetation indices;10.25625/BXLGQJ
Normalized Difference Vegetation Indices (NDVIs) at 1 m resolution;10.25625/AIDFG2
Rasters for ALS metrics at 10m resolution;10.25625/HWTBW5
Rasters for ALS metrics at 50m resolution;10.25625/6JQDNA
Rasters of vegetation canopy height estimated with spaceborne TanDEM-X data;10.25625/QJZ9XI
High-resolution true-color orthophotos with 5 cm resolution;10.25625/1RB4CC
Airborne acquisition extent 2020;10.25625/EKRJI2
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114
Unexpected microbial metabolic responses to elevated temperatures and nitrogen addition in subarctic soils under different land-use;10.5281/zenodo.6457749
Heavy metal contamination in European conger (Conger conger, Linnaeus 1758) along the coastline of Morocco;10.3220/DATA20240326100006-0
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114
Dashboard biogene Rohstoffe in Deutschland;10.48480/pc11-xz36
Reactive nitrogen fluxes over peatland (Bourtanger Moor) and forest (Bavarian Forest National Park) using micrometeorological measurement techniques;10.5281/ZENODO.5841074
D-BeONE.1.2 BeONE dataset;10.5281/zenodo.7335590
Data: Nematode-based indices in soil ecology - application, utility and future directions;10.5073/20211217-170559
Wahrnehmung und Bewertung der Mobilitätssituation Geflüchteter in den Untersuchungslandkreisen und -gemeinden durch lokale Expert*innen aus Verwaltung, Politik und Zivilgesellschaft;10.3220/DATA20211214144336
Durchschnittliche z-Werte der aus den Einzelindikatoren gebildeten Dimensionsindices der Untersuchungsgemeinden und -landkreise;10.3220/DATA20211214145433
z-Werte der Indikatorausprägungen der Untersuchungslandkreise und -gemeinden nach Integrationsdimensionen;10.3220/DATA20211214144807
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145104
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145643
Durchschnittliche bevölkerungsgewichtete Wegezeit in den Untersuchungslandkreisen und ausgewählten kreiseigenen Gemeinden, differenziert nach Verkehrsträgern, in Minuten;10.3220/DATA20211214150102
Fokusgruppen mit Geflüchteten;10.3220/DATA20211214151054
Sample Narrative Interviews mit Geflüchteten;10.3220/DATA20211214150525
Pkw-, fußläufige- und ÖPNV-Erreichbarkeit des nächsten Jobcenters in den Untersuchungslandkreisen;10.3220/DATA20211214150804
Pkw-, fußläufige- und Fahrrad-Erreichbarkeit der nächsten Haltestelle des öffentlichen Personenverkehrs in den Untersuchungslandkreisen;10.3220/DATA20211214150321
Dataset for an evidence review map on agroforestry outcomes;10.3220/DATA20211109081609
Gross N2O emission and uptake in cropland agroforestry and monoculture systems;10.20387/bonares-x13m-z796
Dataset: survey about research data management in agricultural sciences in Germany;10.5073/20211013-105447
"R code and output for ""How can outcome-based approaches for personalized nutrition improve strategies of Vitamin D supplementation?""";10.5281/zenodo.5546571
Bayesian Belief Network to explore combined effects of socio-political and climate change scenarios for an artisanal fishery in the Western Mediterranean;10.3220/DATA20210922133627
Microsatellite marker data of Helosciadium nodiflorum L.;10.5073/20210823-163740
sorcering: Soil ORganic Carbon & CN Ratio drIven Nitrogen modellinG framework;
Data from: Deposition of dust with active substances in pesticides from treated seeds in adjacent fields during drilling: disentangling the effects of various factors using an 8-year field experiment;10.5073/20210318-133039
Data from: N2 and N2O mitigation potential of replacing maize with the perennial biomass crop Silphium perfoliatum – An incubation study;10.3220/DATA20210630134418
Deep spatial profiling of human COVID-19 brains reveals neuroinflammation with distinct microanatomical microglia-T cell interactions;10.5281/zenodo.5018260
Data from: The draft chromosome-level genome assembly of tetraploid ground cherry (Prunus fruticosa Pall.) from long reads;10.5073/20210531-152902
StaPlaRes-DB-Thuenen - Three-year data set on gaseous field emissions and agronomic data in a urea fertilised rapeseed-winter wheat-winter barley crop sequence using inhibitors and subsurface placement at three sites in Germany;10.3220/DATA20220119144442
Whole genome sequence and assembly of the food contaminant Scopulariopsis brevicaulis;
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2019: Input data and emission results;10.3220/DATA20210323134503
Segmentation of wine berries;10.5073/20210308-154150
Differentiation of Capripox Viruses by Nanopore Sequencing;10.5281/zenodo.4559911
