Trichoderma afroharzianum Genome sequencing and assembly;10.1016/j.ijfoodmicro.2018.04.021
Long term monitoring of a SCR system in a research biogas plant;10.17632/tfzxxfsdt6.1
Pomological and molecular characterization of sweet cherry cultivars (Prunus avium L.) of the German Fruit Genebank;10.5073/20210209-092933
Quantification of European Biomass Potentials;10.48480/pc11-xz36
Survey of farmers on their perception of soil compaction and application of soil conservation measures;10.20387/bonares-k85p-tr5n
AHOI v22.01;10.6084/m9.figshare.3458837.v3
Landscape Assessment (LA) centre plot coordinates;10.25625/SSN6RO
"ALS-derived metrics used in the manuscript ""Using Airborne Laser Scanning to characterize land-use systems in a tropical landscape based on vegetation structural metrics""";10.25625/TH5KEX
ALS metrics for Landscape Assessment (LA) plots within LiDAR boundaries;10.25625/NWX23T
ALS metrics for core plots;10.25625/AIKOI9
PhenoApp Input/Output files;10.5281/zenodo.5760899
PhenoApp;10.5281/zenodo.5675073
Multikriterielle Smart Bioenergy Bewertungsdaten;10.1002/ceat.202000033
Dashboard biogene Rohstoffe in Deutschland;10.48480/95ct-gn40
"Data for ""How Array Design Creates SNP Ascertainement Bias""";10.1101/833541
Supplementary Material to Publication Genotyping of Francisella tularensis subsp. holarctica from Hares in Germany;10.5281/zenodo.7642644
Three-year benthic macroinvertebrate monitoring in ditches of the apple orchard region ‘Altes Land’;10.5073/20201029-170047
Self-incompatibility (S) genotypes of cultivated sweet cherries – An overview update 2020;10.5073/20201016-141600
Dataset from the evaluation of resistance/susceptibility of Malus genetic resources to apple blotch disease (Diplocarpon coronariae);10.5073/20201002-102537
Mosquito monitoring data from active (2011-2017) and passive (2012-2017) surveillance;10.1111/1365-2664.13767
Dataset from the evaluation of raspberry genetic resources towards oviposition of spotted wing drosophila (Drosophila suzukii);10.5073/20200907-140951
Data : Breeding progress for pathogen resistance is a second major driver for yield increase in German winter wheat at contrasting N levels;10.5281/zenodo.3697514
Experimental data from the Braunschweig FACE studies on wheat growth responses to elevated CO2 in combination with nitrogen supply or infrared warming during grain filling;10.18174/odjar.v6i0.16397
Maize response to free air CO2 enrichment under ample and restricted water supply: field experimental data and output of a process-based hydrological plant growth model;10.18174/odjar.v6i0.17915
Data to: Development and application of a molecular marker resource for improving drought stress tolerance in rye (Secale cereale L.);10.5073/20200803-174646
Foliar nitrogen (N) and phosphorus (P) concentrations from ICP Forests Level II plots;10.3220/DATA20200824095051
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2018: Input data and emission results;10.3220/DATA20200312140923
Erste Bodenzustandserhebung Landwirtschaft – Kerndatensatz;10.3220/DATA20200203151139
Datenerhebung zu Staubabrieb und Wirkstoffgehalt von gebeiztem Getreidesaatgut 2019;10.5073/20200421-134049
Fermentation of African Nightshade Leaves with Lactic Acid Bacterial Starter Cultures;10.25826/20191211-135551
Long-term monitoring of a research biogas plant;10.17632/3ydxwchm2c.1
SUPREMA - SUpport for Policy RElevant Modelling of Agriculture;10.2905/d6ef74c6-ba91-4e37-827e-d0854fbe85dd
Survey data of xylem-sap feeding Auchenorrhyncha;10.5281/zenodo.3775537
Nationales Monitoring biogener Reststoffe, Nebenprodukte und Abfälle in Deutschland Teil 2;10.1016/j.biombioe.2019.105275
Nationales Monitoring biogener Reststoffe, Nebenprodukte und Abfälle in Deutschland Teil 1;10.1016/j.biombioe.2019.105275
Data to: Single and combined effects of Drosophila suzukii and D. melanogaster on sour rot development in viticulture;10.5073/20190809-165000
Implementing assisted migration. SUSTREE Policy Brief No. 2, Output of the INTERREG CENTRAL EUROPE Programme 2014-2020;10.3220/DATA20191016132031
Conservation and sustainable utilization of forest tree diversity in climate change. SUSTREE Policy Brief No. 1, Output of the INTERREG CENTRAL EUROPE Programme 2014-2020;10.3220/DATA20191016112803
[Dataset] Anaplasma phagocytophilum evolves in geographical and biotic niches of vertebrates and ticks;10.6084/m9.figshare.c.4560296
BWI 2012 Umweltdatenbank Bodenprofile;10.3220/DATA20190625100522
Characterization of the microbiota and volatile components of kocho, a traditional fermented food of Ethiopia;10.25826/Data20180720-110520
Test set of Non-technical Summaries (NTS) of Animal Experiments Indexed with ICD-10 Codes (Version 1.0);10.17590/20190506-101759
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2017: Input data and emission results;10.3220/DATA20190320111106-0
Experimental raw data from the assessment of operator exposure during the filling process - Closed Transfer Systems (CTS);10.5073/20190213-142439
Non-technical Summaries (NTS) of Animal Experiments Indexed with ICD-10 Codes (Version 1.0);10.17590/20190118-134645-0
Database on the Performance of Current Agro-Ecological Farming Systems (AEFS) as an Input to the Modelling in WP4;10.5281/zenodo.3593989
Data: Breeding improves wheat productivity under contrasting agrochemical input levels;10.5281/zenodo.1316947
Fagus sylvatica chloroplast, complete genome : NCBI, accession NC 041437 (version NC 041437.1), DNA sequence, 158462 bp;
Database on the performance of current AEFS as an input to the modelling in WP4;10.5281/zenodo.3593988
Technical and economic data of renewable heat supply systems for different heat sub-sectors;10.17632/v2c93n28rj.2
