National soil data in EU countries, where do we stand?;10.1111/ejss.13398
Wie lange überleben Bakterien in der Luft?;10.3220/PB1693215094000
How long do bacteria survive in the air?;10.3220/PB1693216057000
"Response to: ""The robust concept of mineral-associated organic matter saturation: A letter to Begill et al. (2023)""";10.1111/gcb.16920
Obituary : Klaus Domsch;10.1016/j.soilbio.2023.109148
Continuous thermosalinograph oceanography along RV Meteor cruise track M185 [Datenpublikation];10.1594/PANGAEA.960971
Risiken für Wald und Forst durch phytopathogene Viren;10.5073/20230803-074309-0
Joint optimization of land carbon uptake and albedo can help achieve moderate instantaneous and long-term cooling effects;10.1038/s43247-023-00958-4
Deadwood and fire risk in Europe : Knowledge synthesis for policy;10.2760/553875
Monitoring of carbon-water fluxes at Eurasian meteorological stations using random forest and remote sensing;10.1038/s41597-023-02473-9
Policy instruments to reduce food loss prior to retail - Perspectives of fruit and vegetable supply chain actors in Europe;10.1016/j.wasman.2023.09.019
Working Group on Widely Distributed Stocks (WGWIDE);10.17895/ices.pub.24025482
ICES-FAO Working Group on Fishing Technology and Fish Behaviour (WGFTFB);10.17895/ices.pub.24080889
Modelling and in situ observation of broadband acoustic scattering from the Silver cyprinid (Rastrineobola argentea) in Lake Victoria, East Africa;10.1093/icesjms/fsad137
Estimating abundance of fish associated with structured habitats by combining acoustics and optics;10.1111/1365-2664.14412
Kurzgefasste Analyse der Ergebnisse der Viehzählung vom 3. Mai 2023 und Prognose der Rind- und Schweinefleischerzeugung in Deutschland bis Ende des Jahres 2024;10.3220/WP1696487500000
SNPscan breeder - a computer program to test genomic tools in breeding programs;10.2478/sg-2023-0013
A simulation study comparing advanced marker-assisted selection with genomic selection in tree breeding programs;10.1093/g3journal/jkad164
Seasonal prediction of Arabian Sea marine heatwaves;10.1029/2023GL103975
What drives solo and team startups at European universities? The interactive role of entrepreneurial climate, gender, and entrepreneurship course participation;10.1080/03075079.2023.2263477
Soil carbon losses due to priming moderated by adaptation and legacy effects;10.1038/s41561-023-01275-3
