Holzfaserdämmstoffplatte Trockenverfahren (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240318171943-0
Holzfaser-Einblasdämmstoff (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319093728-0
Konstruktionsvollholz (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319102956-0
Laubschnittholz - getrocknet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319155658-0
Massivholzparkett (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319171710-0
Mehrschichtparkett (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320095927-0
Mitteldichte Faserplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320103024-0
Nadelschnittholz - frisch (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320105349-0
Nadelschnittholz - getrocknet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320111625-0
Oriented Strand Board (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320124754-0
Röhrenspanplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320130205-0
Spanplatte - melaminbeschichtet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320131706-0
The influence of the osmotic potential on evapotranspiration;10.3390/w15112031
Economic damage assessment of forest disturbances on forestry: State of knowledge and challenges for a continuous economic loss monitoring in Germany;10.23765/afjz00092
LaForeT Ground control points and Landscape borders [Datenpublikation];10.3220/DATA20240213131557-0
LaForeT Livelihoods : Livelihood data based on a transnational household survey of the LaForeT project [Datenpublikation];10.3220/DATA20240213131502-0
Bleibeorientierung Geflüchteter, die Rolle der Aufnahmegesellschaft und Haltestrategien der Lokalpolitik;10.1007/978-3-658-36689-6_6
Change points in marine recreational fisheries - the impact of stock status and fisheries regulations: A case from the western Baltic Sea;10.1016/j.fishres.2022.106548
Potential biases in angler diary data: The impact of the diarist recruitment process on participation rates, catch, harvest, and effort estimates;10.1016/j.fishres.2022.106551
Sexual reproduction in two mixed stands of coastal and interior Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco) in Germany;10.1007/s10342-022-01514-z
Greenhouse gas emissions from Silphium perfoliatum and silage maize cropping on Stagnosols;10.1002/jpln.202200014
Willingness to pay for harvest regulations and catch outcomes in recreational fisheries: A stated preference study of German cod anglers;10.1016/j.fishres.2022.106536
Caught in the middle: bottom-up and top-down processes impacting recruitment in a small pelagic fish;10.1007/s11160-022-09739-2
