Titel;DOI
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
ITS sequences from Perenniporia meridionalis;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
The Proteomic Composition and Organization of Constitutive Heterochromatin in Mouse Tissues;10.3390/cells13020139
Improving color sources by plant breeding and cultivation;10.1016/B978-0-08-100371-8.00019-1
Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.1007/s00253-024-13089-3
Pathogene der heimischen Flatter-Ulme (Ulmus laevis Pall.) - ein Überblick;
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.3220/DATA20240219102640-0
Viral Diseases of Field and Horticultural Crops;
Fungal and Bacterial Diversity of exterior construction timber;10.1007/s00253-024-13089-3
Ecotypic variation in multiple traits of European beech - selection of suitable provenances based on performance and stability [Preprint];10.21203/rs.3.rs-3387770/v1
dated phylogeny of the Neotropical Dipterygeae clade reveals 30 million years of winged papilionate floral conservatism in the otherwise florally labile early-branching papilionoid legumes;10.1093/botlinnean/boad003
Chemical composition (main ingredients and anti-nutritional factors) of common vetch (Vicia sativa L.) varieties;
Fourth International Legume Society Conference ILS4 2023, 19-22 September, Granada, Spain : Book of abstracts;
Plant invasion threatens coastal blue carbon sequestration;10.1002/bes2.2030
Fremdländische Birken;
Climate sensitivity of tree growth differs between northern red oaks (Quercus rubra L.) - a study in a 33-years-old provenance trial in Germany;
Accounting for phenotypic plasticity and local adaptation in species distribution models to support prescriptions on assisted migration;
Genetic diversity and structure of Siberian Stone Pine (Pinus sibirica Du Tour) populations;10.2478/sg-2023-0003
Recommendations for the use of seed of the alternative tree species Norway maple (Acer platanoides L.) based on genetic studies;
insight into the current state of work on the population structure of Carpinus betulus L. in selected stands;
"Floristischen Artenvielfalt der durch den Ackerbau dominierten
Agrarlandschaft";10.5073/20230719-142513-0
contribution of Horticulture 4.0 innovations to more sustainable horticulture;10.1016/j.procs.2022.12.242
Sexual reproduction in two mixed stands of coastal and interior Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco) in Germany;10.1007/s10342-022-01514-z
small set of nuclear markers for reliable differentiation of the two closely related oak species Quercus robur and Q. petraea;10.3390/plants12030566
Drei auf Spitzbergen häufiger anzutreffende Zwerggehölze: Salix polaris Wahlenb., Cassiope tetragona (L.) D. Don und Dryas octopetala L.;
German Gene Bank of Ornamentals: Focus on the Subnetwork Pelargonium;10.5288/dgg-pr-11-06-sp-2023
DGG-Proceedings: Short Communications of the DGG and BHGL Annual Conference 2023, Osnabrück, Germany;
Auswirkung des Feuchtigkeitsgehaltes auf das Wachstum und die Holzzersetzungsrate von Trametes versicolor in Bezug auf Buche und Robinie;
Introgression as an important driver of geographic genetic differentiation within European white oaks;10.3390/f14122279
Distinct responses of European beech (Fagus sylvatica L.) to drought intensity and length - A review of the impacts of the 2003 and 2018-2019 drought events in Central Europe;10.3390/f14020248
Zukunft der Rotbuche in Mitteleuropa;
Floristische Artenvielfalt;10.5073/20230719-142513-0
Forest values and application of different management activities among small-scale forest owners in five EU countries;10.1016/j.forpol.2022.102881
Forest subsidy distribution in five European countries;10.1016/j.forpol.2022.102882
First insights into the genome of ‘Candidatus Phytoplasma rubi’ highlight effector protein repertoire of 16SrV phytoplasmas;10.5958/2249-4677.2023.00006.3
Epidemiology of pear decline in orchards without vector control in Southwest Germany;10.5958/2249-4677.2023.00024.5
Development of multilevel monitoring systems for the identification of phytoplasma diseases in German viticultural areas;10.5958/2249-4677.2023.00067.1
Leaf reddening as suitable symptom of pear decline for remote sensing;10.5958/2249-4677.2023.00069.5
A small set of nuclear markers for reliable differentiation of the two closely related oak species Quercus robur and Q. petraea;10.3390/plants12030566
Informal employment in the forest sector: A scoping review;10.3390/f13030460
Physiological performance and biomass growth of different black locust origins growing on a post-mining reclamation site in Eastern Germany;10.3390/f13020315
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part I: Measuring temporal dynamics;10.5194/bg-19-389-2022
"XXXI IBC2022; 31st International Biometric Conference; Riga, Lettland; 2022.07.10-15";
Tree species mapping for German forests;10.3220/PB1646732321000
Genomic Designing for Biotic Stress Resistant Fruit Crops;10.1007/978-3-030-91802-6
Vom Glück der Ressource : Wald und Forstwirtschaft im 21. Jahrhundert;
Die Suche nach der Wahrheit über den Wald : Waldinventur und -monitoring in Deutschland;
Der Einfluss von Wald und Witterung auf die Tiefenversickerung;10.3220/PB1643027675000
Die Hybridlärche - eine besonders schnellwachsende und standorttolerante Baumart;
Steckbriefe zum Gartenbau in Deutschland : Obstbau - Überblick;
Wie sich der Anbau der Durchwachsenen Silphie auf THG-Emissionen und Boden-Biodiversität auswirkt;10.3220/PB1669629146000
Green forest jobs in the pan-European region : report;
Green forest jobs in the pan-European region : policy brief;
Charta für Holz 2.0 : Kennzahlenbericht 2021 Forst & Holz;
Drought stress detection of European beech with UAV Data Cubes [Präsentation];
"Forest condition in Europe : The 2022 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1656330928000
Steckbriefe zum Gartenbau in Deutschland : Obstbau - Apfel;
2022 World Wood Day Online Symposium & the 4th IUFRO Forest Products Culture Colloquium : abstract booklet : March 21st-22nd (GMT);
Wood anatomy - from tradition into the digital future;
Modeling of a climate-adapted tree species distribution for Germany based on National Forest Inventory and remote sensing data. Tree Species project : Poster;
Suggestions and requirements for a national biodiversity monitoring in German forests (NaBioWald) : Poster;
Previous year’s climatic conditions drive foliation response of European beech (Fagus sylvatica L.) : Oral;
Impacts of alien invasive plant species on biodiversity in Central Europe. Impact of Prunus serotina in pine stands on the local entomofauna in the Berlin urban forests (Grunewald area) : oral;
Significant changes in the ground vegetation along an environmental gradient across German forests: results from the intensive forest monitoring sites : Poster;
