"DOI","Title","Distinct IPs","Download volume"
"10.5447/ipk/2017/2","A. Oertel (2017-03-15): Metabolite profiling of red and blue potatoes revealed cultivar and tissue specific patterns for anthocyanins and other polyphenols (supplemental data files).","11951","26,1 TB"
"10.5447/ipk/2018/7","A. Bräutigam (2017-11-15): Results of genie3 analyis for wheat.","9199","754,1 GB"
"10.5447/ipk/2016/9","A. Junker (2016-02-17): Image analysis results from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping.","6697","2,1 TB"
"10.5447/ipk/2016/7","A. Junker (2016-05-26): Raw images files from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping.","6391","27,2 TB"
"10.5447/ipk/2012/16","P. Verboeven (2012-11-20): Micro CT raw data as used for the imaging of the void network in Brassica napus.","6355","84,6 GB"
"10.5447/ipk/2016/0","C. Klukas (2016-04-11): IAP example data set 1107BA_Corn_JPEG.","6060","1,4 TB"
"10.5447/ipk/2017/25","K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-07-22 to 2011-09-18).","5417","21,9 TB"
"10.5447/ipk/2021/3","M. Mascher (2020-10-13): Pseudomolecules and annotation of the third version of the reference genome sequence assembly of barley cv. Morex [Morex V3].","5158","34,9 TB"
"10.5447/ipk/2017/26","K. Neumann (2017-11-06): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-09-16 to 2011-11-13).","5092","8,4 TB"
"10.5447/ipk/2019/8","M. Mascher (2019-05-09): Pseudomolecules and annotation of the second version of the reference genome sequence assembly of barley cv. Morex [Morex V2].","5004","75,5 TB"
"10.5447/ipk/2017/24","K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-05-27 to 2011-07-24).","4876","48,1 TB"
"10.5447/ipk/2020/24","M. Mascher (2020-06-22): Assembly, annotation and analysis of the barley (Hordeum vulgare L.) pan-genome.","4866","369,4 TB"
"10.5447/ipk/2015/3","N. Wendler (2015-04-23): Bulbosum to go_ a toolbox to utilize Hordeum vulgare _ bulbosum introgressions for breeding and beyond.","4744","184,1 GB"
"10.5447/ipk/2019/18","N. Bernhardt et al. (2019-11-13): Genomic and phylogenetic data for the identification of ancient and recurrent hybridizations in wheat taxa.","4443","742,1 GB"
"10.5447/ipk/2017/10","D. Pflugfelder (2017-07-10): 3D Magnetic resonance images of three weeks old barley roots grown in different soils.","3641","1,1 TB"
"10.5447/ipk/2020/4","A. Junker et al. (2019-11-18): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wild type plants.","3632","1,2 TB"
"10.5447/ipk/2017/17","U. Scholz (2017-10-01): GCBN de.NBI User Training - PLANT 2030 Summer School - Basis Bioinformatics Training for Biologists.","3547","1,8 TB"
"10.5447/ipk/2016/34","IBSC (2016-07-14): Pseudomolecules of the map-based reference genome assembly of barley cv. Morex.","3431","98,4 TB"
"10.5447/ipk/2020/14","A. Kuczyńska (2020-05-26): Phenotypic image data of spring barley (Hordeum vulgare L.) RIL population under drought.","3416","810,8 GB"
"10.5447/ipk/2016/59","A. Bräutigam (2016-12-01): Big Data Analysis Training  Course hosted  at the Leibniz Institute of Plant Genetics and Crop Plant Research (IPK).","3413","18,4 TB"
"10.5447/ipk/2016/8","A. Junker (2016-06-07): Technical validation experiment for reproducibility of high throughput plant phenotyping using LemnaTec automated image acquisition and IAP image analysis workflow.","3365","96,0 GB"
"10.5447/ipk/2016/55","R. Nawrot (2016-10-13): Protein analysis data of the quantitative comparison of milky sap proteins from Chelidonium majus L. of the growth stage III versus stage IV.","3280","66,3 MB"
"10.5447/ipk/2016/60","R. Fritsch (2016-12-06): A Preliminary Review of Allium subg. Melanocrommyum in Central Asia.","3210","17,4 GB"
"10.5447/ipk/2021/18","A. Junker et al. (2019-08-19): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wildtype plants.","3122","1,5 TB"
"10.5447/ipk/2017/9","S. Lueck (2017-08-16): siFi_ Software for long double-stranded RNAi-target design and off-target prediction.","2794","251,4 GB"
"10.5447/ipk/2018/9","M. Mascher (2018-09-06): Variant matrices for a global barley diversity panel.","2781","4,1 TB"
"10.5447/ipk/2021/11","A. Garibay-Hernández et al. (2021-05-18): Untargeted phenylpropanoid metabotypes of crop plants.","2770","979,3 MB"
"10.5447/ipk/2015/9","T. Schmutzer (2015-09-15): Functional annotation of SNPs and INDELs from 52 highly diverse accessions of the model allopolyploid plant Brassica napus.","2684","452,9 GB"
"10.5447/ipk/2014/4","A. Junker (2014-07-29): Optimizing experimental procedures for quantitative evaluation of crop plant performance in high throughput phenotyping systems.","2562","560,6 GB"
"10.5447/ipk/2016/56","T. Schmutzer (2016-06-22): Scaffolds of rye (Secale cereale L.) inbred line Lo7– version 2.","2376","16,2 TB"
"10.5447/ipk/2020/22","J. Szymanski et al. (2020-07-28): Analysis of Wild Tomato Introgression Lines Elucidates the Genetic Basis of Metabolome Variation in a Ripening Tomato Fruit.","2251","141,5 TB"
"10.5447/ipk/2016/1","N. Bernhardt (2016-04-28): Analysis of phylogenetic relationships among diploid Triticeae grasses .","2163","784,3 MB"
"10.5447/ipk/2017/22","A. Jozefowicz (2017-08-24): Nitrogen deficiency induced alterations in the root proteome of a pair of potato (Solanum tuberosum L.) varieties contrasting for their response to low N.","2143","723,2 GB"
"10.5447/ipk/2016/13","T. Schmutzer (2016-06-22): Diversity resource for Secale cereale L. including VCF files and functional annotation of SNPs and INDELs from 11 re-sequenced rye genotypes.","2121","1,6 TB"
"10.5447/ipk/2019/4","B. Pucker (2019-03-06): Chromosome-level Assembly Reveals the Niederzenz (Nd-1) Genome Structure and Gene Set.","2027","86,9 GB"
"10.5447/ipk/2020/33","The International Rye Genome Sequencing Consortium (IRGSC) (2020-12-09): The 2019-2021 rye (Secale cereale L. inbred line 'Lo7') genome assembly.","1986","120,6 TB"
"10.5447/ipk/2017/4","Q. Muqaddasi (2017-04-20): 15k SNP chip data for spring and winter wheat.","1953","4,6 GB"
"10.5447/ipk/2015/6","S. Beier (2015-05-08): Multiplex sequencing of bacterial artificial chromosomes for assembling complex plant genomes.","1934","755,7 MB"
"10.5447/ipk/2016/58","M. Martis (2016-08-03): Updated version (v2) of the Rye Genome Zipper.","1872","4,6 GB"
"10.5447/ipk/2011/0","C. Colmsee et al. (2014-07-25): A case study for efficient management of high throughput primary lab data.","1822","118,4 MB"
"10.5447/ipk/2017/7","L. Otto (2017-08-07): Supplemental Material BMC Genomics DOI10.1186_s12864-017-3991-0_ Use of genotyping-by-sequencing to determine the genetic structure in the medicinal plant chamomile, and to identify flowering time and alpha-bisabolol associated SNP-loci by genome-wide association mapping.","1802","295,8 GB"
"10.5447/ipk/2016/19","IBSC (2016-08-22): Data and procedures for the construction of the pseudomolecules of barley cv. Morex.","1793","292,5 GB"
"10.5447/ipk/2018/4","R. Hettwer Giehl et al. (2018-03-13): Gene expression signatures in Arabidopsis thaliana roots under sufficient or deficient phosphate conditions.","1768","7,9 GB"
"10.5447/ipk/2019/17","T. Schmutzer (2019-10-22): Tutorial with three data sets providing assistance and guidance of data processing using Kmasker plants.","1735","995,3 MB"
"10.5447/ipk/2015/8","T. Schmutzer (2015-09-15): Repeat investigation of 4.3 million variant positions using 52 highly diverse accessions of the model allopolyploid plant Brassica napus.","1671","23,3 GB"
"10.5447/ipk/2015/10","T. Schmutzer (2015-11-05): Genomic resource for two Genlisea species (G. nigrocaulis and G. hispidula) including the individual WGS genome assembly and the gene annotation for each species.","1621","69,5 GB"
"10.5447/ipk/2021/13","K. Gaurav (2020-10-14): K-mer matrix of OWWC Aegilops tauschii diversity panel.","1599","61,7 TB"
"10.5447/ipk/2016/57","T. Schmutzer (2016-08-03): Large data tables for gene prediction, gene annotation and the genetic map of rye (Lo7).","1572","2,5 GB"
"10.5447/ipk/2014/14","M. Mascher (2014-09-12): w7984_meraculous_scaffolds.","1555","73,1 TB"
"10.5447/ipk/2019/5","WHEALBI Consortium (2019-04-30): Single-nucleotide polymorphism matrices for 403 barley genotypes (WHEALBI diversity panel).","1538","486,1 GB"
"10.5447/ipk/2022/2","T. Lux (2022-03-10): Structural annotation, pseudomolecules, and analyses of Avena sativa (cv. Sang), Avena insularis (BYU209) and Avena longiglumis (CN58138).","1524","216,4 TB"
"10.5447/ipk/2016/27","IBSC (2016-07-15): Boundaries of the split pseudomolecules of barley cv. Morex.","1521","43,8 kB"
"10.5447/ipk/2020/29","T. Lux (2019-12-05): Strutural gene prediction and annotation for Secale cereale Lo7.","1504","241,4 GB"
"10.5447/DPPN/2014/0","J. Schnitzler (2014-07-25): Supplemental material : 'Isoprene emission-free poplars - a chance to reduce the impact from poplar plantations on the atmosphere'.","1449","5,3 MB"
"10.5447/ipk/2020/2","P. Hoseinzadeh et al. (2019-12-05): Genotyping-by-sequencing  data of two double introgression-line mapping populations developped to map the Hordeum bulbosum A42 powdery mildew locus.","1422","120,8 GB"
