Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Perenniporia meridionalis genomic DNA sequence contains;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
ITS sequences from Perenniporia meridionalis;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
The Proteomic Composition and Organization of Constitutive Heterochromatin in Mouse Tissues;10.3390/cells13020139;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Improving color sources by plant breeding and cultivation;10.1016/B978-0-08-100371-8.00019-1;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;50.0;50.0;31.25
Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.3220/DATA20240219102640-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Fungal and Bacterial Diversity of exterior construction timber;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Ecotypic variation in multiple traits of European beech - selection of suitable provenances based on performance and stability [Preprint];10.21203/rs.3.rs-3387770/v1;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;57.14;50.0;30.0;33.33;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;41.67
dated phylogeny of the Neotropical Dipterygeae clade reveals 30 million years of winged papilionate floral conservatism in the otherwise florally labile early-branching papilionoid legumes;10.1093/botlinnean/boad003;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Plant invasion threatens coastal blue carbon sequestration;10.1002/bes2.2030;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Genetic diversity and structure of Siberian Stone Pine (Pinus sibirica Du Tour) populations;10.2478/sg-2023-0003;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
