Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Population dynamics of Wilson's Storm Petrel (Oceanites oceanicus) at King George Island over forty years from 1978 to 2020;10.1594/PANGAEA.963114;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100;100;100;70;100;100;100;100;100;100;100;100;50;100;50;100;87.5
Dataset: Quality parameters of different collectors in combination with the fluorescent dye pyranine;10.5073/20230614-144819-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Quantitative descripton of marine litter at the seafloor of the Baltic Sea;10.1594/PANGAEA.958432;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100;100;100;80;100;100;100;100;100;100;100;100;75;100;50;100;91.67
[Dataset] Scoping review of carbon pricing systems in forest sector models;10.3220/DATA20231103100729-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
"Datensatz zu ""Rechtsextreme Konzerte und Völkische Siedler: Welche Möglichkeiten bieten ländliche Räume?""";10.3220/DATA20230928113909-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Referenzdaten aus dem Projekt FNEWS;10.3220/DATA20231025183526-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
FNEWS-Jahresprodukte 2018 bis 2022;10.3220/DATA20230907171359-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;50;57.14;75;40;50;100;50;0;50;100;100;0;25;50;50;50;52.08
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2021: Input data and emission results;10.3220/DATA20230307151125-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Item characteristics of marine litter at the seafloor of the Baltic Sea;10.1594/PANGAEA.958427;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100;100;100;80;100;100;100;100;100;100;100;100;75;100;50;100;91.67
Steckbriefe für biobasierte Kohlenstoffdioxid-Entnahmeoptionen in Deutschland;10.48480/tga8-t109;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;50;71.43;50;40;50;100;50;0;100;100;0;0;25;50;50;50;52.08
