Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
INRAE Thesaurus (INRAETHES);https://doi.org/10.15454/J8GANU;100.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;45.0;;33.33;85.71;100.0;40.0;33.33;100.0;100.0;0.0;100.0;100.0;100.0;100.0;25.0;50.0;50.0;50.0;62.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Crop Usage thesaurus (Classification des plantes cultivées en France en fonction des usages) (CROPUSAGE);https://doi.org/10.15454/QHFTMX;100.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;45.0;;33.33;85.71;75.0;40.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;50.0;50.0;50.0;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plant Trait Ontology (TO);https://doi.org/10.1007/978-1-4939-3167-5_5;100.0;100.0;0.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;50.0;;33.33;71.43;100.0;30.0;33.33;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBCH-based Plant Phenological Description Ontology (PPDO);https://doi.org/10.15454/TIMQHW;100.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;45.0;;33.33;85.71;75.0;40.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;50.0;50.0;50.0;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grapevine Anatomy Ontology (GAO);http://opendata.inrae.fr/gao/1.0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;;0.0;14.29;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irrigation Ontology (IRRIG);https://doi.org/10.3390/app10051803;100.0;100.0;0.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;45.0;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FoodOn (FOODON);https://doi.org/10.1038/s41538-018-0032-6;100.0;100.0;0.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;100.0;100.0;59.0;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plant Ontology (PO);http://purl.obolibrary.org/obo/po/releases/2024-02-16/po.owl;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;;33.33;21.43;50.0;40.0;33.33;50.0;25.0;0.0;0.0;50.0;100.0;0.0;25.0;100.0;0.0;50.0;35.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plant Experimental Conditions Ontology (PECO);http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;;33.33;21.43;50.0;10.0;33.33;50.0;25.0;0.0;0.0;50.0;100.0;0.0;25.0;0.0;0.0;0.0;22.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAO WCA Crop (WCACROPS);http://stats-class.fao.uniroma2.it/WCA_CropList/;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;;0.0;14.29;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
