Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Biophysicochemical rhizosheath soil properties of 38 maize varieties under drought and well-watered conditions;10.20387/bonares-tdgx-339v;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Model Output Scenario Analysis 2023;10.20387/bonares-kp4s-ddbj;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil gross N2O emission and uptake under two contrasting agroforestry systems: riparian tree buffer vs. alley-cropping tree row;10.20387/bonares-jg5t-r1v4;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"RhizoWheat; rhizobox experiment; early growth; rhizosphere processes; rhizo2";10.20387/bonares-67q1-90wr;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Climate data Graswang site 2011 to 2018;10.20387/bonares-8sqm-91e9;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Model Output Scenario Analysis 2023;10.20387/bonares-d5ey-hg4d;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Agroclimatic indicators data of Long-Term Field Experiments in Germany - BIOCLIMATIC INDICATORS;10.20387/bonares-j4tw-7a9h;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Rheinbach-2” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-dde3-24vk;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Düren” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-p731-h0fv;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Ahrweiler” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-5tpj-cmsz;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
