Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
"A. Oertel (2017-03-15): Metabolite profiling of red and blue potatoes revealed cultivar and tissue specific patterns for anthocyanins and other polyphenols (supplemental data files)."; 10.5447/ipk/2017/2;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Bräutigam (2017-11-15): Results of genie3 analyis for wheat."; 10.5447/ipk/2018/7;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Junker (2016-02-17): Image analysis results from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping."; 10.5447/ipk/2016/9;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Junker (2016-05-26): Raw images files from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping."; 10.5447/ipk/2016/7;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"P. Verboeven (2012-11-20): Micro CT raw data as used for the imaging of the void network in Brassica napus."; 10.5447/ipk/2012/16;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;50.0;85.71;75.0;40.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;60.42
"C. Klukas (2016-04-11): IAP example data set 1107BA_Corn_JPEG."; 10.5447/ipk/2016/0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-07-22 to 2011-09-18)."; 10.5447/ipk/2017/25;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;40.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;60.42
"M. Mascher (2020-10-13): Pseudomolecules and annotation of the third version of the reference genome sequence assembly of barley cv. Morex [Morex V3]."; 10.5447/ipk/2021/3;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"K. Neumann (2017-11-06): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-09-16 to 2011-11-13)."; 10.5447/ipk/2017/26;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;40.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;60.42
"M. Mascher (2019-05-09): Pseudomolecules and annotation of the second version of the reference genome sequence assembly of barley cv. Morex [Morex V2]."; 10.5447/ipk/2019/8;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-05-27 to 2011-07-24)."; 10.5447/ipk/2017/24;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;40.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;60.42
"M. Mascher (2020-06-22): Assembly; annotation and analysis of the barley (Hordeum vulgare L.) pan-genome."; 10.5447/ipk/2020/24;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"N. Wendler (2015-04-23): Bulbosum to go_ a toolbox to utilize Hordeum vulgare _ bulbosum introgressions for breeding and beyond."; 10.5447/ipk/2015/3;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"N. Bernhardt et al. (2019-11-13): Genomic and phylogenetic data for the identification of ancient and recurrent hybridizations in wheat taxa."; 10.5447/ipk/2019/18;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"D. Pflugfelder (2017-07-10): 3D Magnetic resonance images of three weeks old barley roots grown in different soils."; 10.5447/ipk/2017/10;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Junker et al. (2019-11-18): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wild type plants."; 10.5447/ipk/2020/4;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"U. Scholz (2017-10-01): GCBN de.NBI User Training - PLANT 2030 Summer School - Basis Bioinformatics Training for Biologists."; 10.5447/ipk/2017/17;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"IBSC (2016-07-14): Pseudomolecules of the map-based reference genome assembly of barley cv. Morex."; 10.5447/ipk/2016/34;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Kuczyńska (2020-05-26): Phenotypic image data of spring barley (Hordeum vulgare L.) RIL population under drought."; 10.5447/ipk/2020/14;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Bräutigam (2016-12-01): Big Data Analysis Training  Course hosted  at the Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)."; 10.5447/ipk/2016/59;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Junker (2016-06-07): Technical validation experiment for reproducibility of high throughput plant phenotyping using LemnaTec automated image acquisition and IAP image analysis workflow."; 10.5447/ipk/2016/8;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"R. Nawrot (2016-10-13): Protein analysis data of the quantitative comparison of milky sap proteins from Chelidonium majus L. of the growth stage III versus stage IV."; 10.5447/ipk/2016/55;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"R. Fritsch (2016-12-06): A Preliminary Review of Allium subg. Melanocrommyum in Central Asia."; 10.5447/ipk/2016/60;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Junker et al. (2019-08-19): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wildtype plants."; 10.5447/ipk/2021/18;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"S. Lueck (2017-08-16): siFi_ Software for long double-stranded RNAi-target design and off-target prediction."; 10.5447/ipk/2017/9;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"M. Mascher (2018-09-06): Variant matrices for a global barley diversity panel."; 10.5447/ipk/2018/9;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"A. Garibay-Hernández et al. (2021-05-18): Untargeted phenylpropanoid metabotypes of crop plants."; 10.5447/ipk/2021/11;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
"T. Schmutzer (2015-09-15): Functional annotation of SNPs and INDELs from 52 highly diverse accessions of the model allopolyploid plant Brassica napus."; 10.5447/ipk/2015/9;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;85.71;75.0;50.0;50.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;64.58
