Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Do ammonia emission rates from forced ventilated barns in pig fattening and piglet rearing need to be reviewed?;10.15150/lt.2024.3303;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;71.43;50.0;50.0;50.0;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;56.25
Supranational entrepreneurship through the administrative backdoor: The Commission, the Green Deal and the CAP 2023-2027;10.1111/jcms.13522;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Farm-level responses to weather trends: A structural model;10.1111/ajae.12421;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Spatial separation of larval sprat (Sprattus sprattus) and sardine (Sardina pilchardus) related to hydrographical characteristics in the North Sea;10.1111/fog.12656;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Mother trees, altruistic fungi, and the perils of plant personification;10.1016/j.tplants.2023.08.010;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Das Projekt WERTHOLZ - eine (Erfolgs-)Geschichte in der Forstpflanzenzüchtung [Poster];10.25368/2024.36;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;50.0;50.0;20.0;33.33;100.0;25.0;0.0;50.0;50.0;100.0;0.0;0.0;0.0;50.0;50.0;35.42
Changes in wax composition but not amount enhance cuticular transpiration;10.1111/pce.14719;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Pilotprojekte zur Sicherung der Nahversorgung in ländlichen Räumen. Start-ups, sozialorientiertes Unternehmertum und Fördermittel als Treiber?;10.14512/rur.1699;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Degradation by brown rot fungi increases the hygroscopicity of heat-treated wood;10.1016/j.ibiod.2023.105690;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Temporally transferable crop mapping with temporal encoding and deep learning augmentations;10.1016/j.jag.2024.103867;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
