Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Cover crops do increase soil organic carbon stocks - A critical comment on Chaplot and Smith (2023);10.1111/gcb.17128;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Effects of water management and grassland renewal on the greenhouse gas emissions from intensively used grassland on bog peat;10.1016/j.agrformet.2023.109858;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Aufkommen und Verwendung von Holz - Perspektiven für Biomasse aus KUP und AFS;10.22032/dbt.59487;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;50.0;85.71;75.0;40.0;50.0;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;50.0;50.0;50.0;60.42
Improving wild bee monitoring, sampling methods, and conservation;10.1016/j.baae.2024.01.003;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Biodiversity impact of food waste: Quantification for supply chain stages and products in Germany;10.1111/jiec.13471;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Inter-provenance variability and phenotypic plasticity of wood and leaf traits related to hydraulic safety and efficiency in seven European beech (Fagus sylvatica L.) provenances differing in yield;10.1186/s13595-024-01227-w;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Identifying environmental factors affecting the microbial community composition on outdoor structural timber [Datenpublikation];10.3220/DATA20240219102640-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2022: Input data and emission results [Datenpublikation];10.3220/DATA20240219164429-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021) [Datenpublikation];10.5281/zenodo.10617623;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;75.0
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022) ; Version v202 [Datenpublikation];10.5281/zenodo.10645427;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
