Title;DOI
Do ammonia emission rates from forced ventilated barns in pig fattening and piglet rearing need to be reviewed?;10.15150/lt.2024.3303
Supranational entrepreneurship through the administrative backdoor: The Commission, the Green Deal and the CAP 2023-2027;10.1111/jcms.13522
Farm-level responses to weather trends: A structural model;10.1111/ajae.12421
Spatial separation of larval sprat (Sprattus sprattus) and sardine (Sardina pilchardus) related to hydrographical characteristics in the North Sea;10.1111/fog.12656
Mother trees, altruistic fungi, and the perils of plant personification;10.1016/j.tplants.2023.08.010
Das Projekt WERTHOLZ - eine (Erfolgs-)Geschichte in der Forstpflanzenzüchtung [Poster];10.25368/2024.36
Changes in wax composition but not amount enhance cuticular transpiration;10.1111/pce.14719
Pilotprojekte zur Sicherung der Nahversorgung in ländlichen Räumen. Start-ups, sozialorientiertes Unternehmertum und Fördermittel als Treiber?;10.14512/rur.1699
Degradation by brown rot fungi increases the hygroscopicity of heat-treated wood;10.1016/j.ibiod.2023.105690
Temporally transferable crop mapping with temporal encoding and deep learning augmentations;10.1016/j.jag.2024.103867
Accelerated decay tests with miniaturised wood specimens - critical assessment of suitability for durability classification;10.1080/17480272.2024.2349653
Soil and climatic characteristics and farming system shape fungal communities in European wheat fields;10.1016/j.agee.2024.109035
Carbon sequestration potential in hedgerow soils: Results from 23 sites in Germany;10.1016/j.geoderma.2024.116878
Overcoming complexity - Research through Design und Backcasting als komplementäre Ansätze zur Antizipation von nachhaltigeren Zukünften;10.1007/s11612-024-00742-8
Improved large-area forest increment information in Europe through harmonisation of National Forest Inventories;10.1016/j.foreco.2024.121913
Impact of liming and maize residues on N2O and N2 fluxes in agricultural soils: an incubation study;10.1007/s00374-024-01825-w
Winter cover crops decreased soil mineral N contents and increased soil organic C stocks and N2O emission;10.1016/j.agee.2024.108985
What is still at stake in the Gran Chaco? Social-ecological impacts of alternative land-system futures in a global deforestation hotspot;10.1088/1748-9326/ad44b6
Assessing landscape-level effects of permanent grassland management and landscape configuration on open-land butterflies based on national monitoring data;10.1007/s10531-024-02861-6
Daseinsvorsorge in ländlichen Räumen neu denken?;10.14512/rur.2548
Six steps towards a spatial design for large-scale pollinator surveillance monitoring;10.3390/insects15040229
Engagement in der Freiwilligen Feuerwehr - ländliche Tradition, aber keine Selbstverständlichkeit;10.36198/9783838560687
The anaerobic soil volume as a controlling factor of denitrification: a review;10.1007/s00374-024-01819-8
Short-term effect of liquid organic fertilisation and application methods on N2, N2O and CO2 fluxes from a silt loam arable soil;10.1007/s00374-024-01814-z
Determining N2O and N2 fluxes in relation to winter wheat and sugar beet growth and development using the improved 15N gas flux method on the field scale;10.1007/s00374-024-01806-z
Lysimeter-based full fertilizer 15N balances corroborate direct dinitrogen emission measurements using the 15N gas flow method;10.1007/s00374-024-01801-4
Wavy grain in sycamore maple (Acer pseudoplatanus) - a structural analysis of xylem and phloem;10.1163/22941932-bja10160
Zunehmende Fachkräfteengpässe - Warum sind ländliche Räume besonders betroffen?;10.2478/wd-2024-0088
Mexican Populus tremuloides Michx: Adaptation to climate change under extreme heterozygote excess;10.1007/978-3-031-50787-8_9
Automating wood species detection and classification in microscopic images of fibrous materials with deep learning;10.1093/mam/ozae038
Comparative durability tests of preservative-treated and chemically modified wood - Assessment and classification on the basis of different decay tests;10.1007/s00107-024-02065-3
Revisiting soil fungal biomarkers and conversion factors: Interspecific variability in phospholipid fatty acids, ergosterol and rDNA copy numbers;10.1007/s42832-024-0243-5
Stickstoffnutzungseffizienz: Effekte regionaler und betriebsstruktureller Standortfaktoren;10.3220/DAFA1713767287000
Peat reduction in horticulture - an overview of Europe;10.17660/ActaHortic.2024.1391.75
Landwirtschaftliche Assistenzsysteme zur Entscheidungsunterstützung in der Nutztierhaltung = Agricultural assistance systems for decision support in livestock farming;10.15150/ae.2024.3305
Workshop to update and assess trade-offs between the impact of fisheries on seafloor habitats and their landings and economic performance (WKD6ASSESS);10.17895/ices.pub.25567353
Pappeln und andere schnellwachsende Baumarten in Deutschland: Bericht der nationalen Pappelkommission 2020-2023;10.3220/WP1713423686000
Poplars and other fast-growing tree species in Germany: Report of the National Poplar Commission 2020-2023;10.3220/WP1713424619000
Ergebnisse des Fernerkundungsbasierten Nationalen Erfassungssystems Waldschäden (FNEWs);10.3220/PB1712056632000
Hemmnisse und Verbesserungspotenziale der Öko-Aquakultur in Deutschland;10.12767/buel.v102i3.507
Influence of particle size on the mechanical properties of single-layer particleboards;10.3390/fib12040032
Evaluation of selected Sentinel-2 remotely sensed vegetation indices and MODIS GPP in representing productivity in semi-arid South African ecosystems;10.1029/2023JG007728
Nutri2Cycle - Förderung der Kreislaufwirtschaft;10.3220/PB1712228437000
Nutri2Cycle - Nurturing the circular economy;10.3220/PB1712229209000
High risk, high gain? Trade-offs between growth and resistance to extreme events differ in northern red oak (Quercus rubra L.);10.3389/fpls.2024.1374498
Joint environmental and social benefits from diversified agriculture;10.1126/science.adj1914
Millennial-aged pyrogenic carbon in high-latitude mineral soils;10.1038/s43247-024-01343-5
Revealing legacy effects of extreme droughts on tree growth of oaks across the Northern Hemisphere;10.1016/j.scitotenv.2024.172049
The importance of animal welfare and country of origin in consumer preferences: A cross-national study;10.1080/08974438.2024.2331482
Mesopelagic fish assemblages in the Mauritanian Upwelling System off Northwest Africa with oxygen as a major driving force;10.3354/meps14524
Sentinel-2 machine learning dataset for tree species classification in Germany [Datenpublikation];10.3220/DATA20240402122351-0
Contributing to sustainable development pathways in the South Pacific through transdisciplinary research: Conference report;10.1016/j.marpol.2024.106124
Resilient forests need joint forces for better inventorying and monitoring;10.1016/j.foreco.2024.121875
Earthworm communities and their relation to above-ground organic residues and water infiltration in perennial cup plant (Silphium perfoliatum) and annual silage maize (Zea mays) energy plants;10.1111/sum.13041
Operationalizing a fisheries social-ecological system through a Bayesian belief network reveals hotspots for its adaptive capacity in the southern North sea;10.1016/j.jenvman.2024.120685
Volunteering in terms of spatial and social inequalities;10.3220/PB1712653357000
Mapping lock-ins and enabling environments for agri-food sustainability transitions in Europe;10.1007/s11625-024-01480-y
Sicht der Bürgerinnen und Bürger auf Tierwohl: Wahrnehmung, Bewertung, Vorstellung und Finanzierung einer verbesserten Nutztierhaltung;10.1007/s00003-024-01482-z
Tierschutz first? Wie wichtig sind unterschiedliche Nachhaltigkeitsaspekte in der Nutztierhaltung: Ein systematischer Vergleich;10.1007/s00003-024-01480-1
Leitfaden für insektenfreundliches Liegenschaftsmanagement;10.3220/WP1713769875000
Zukunft durch Beteiligung - landwirtschaftliche Tierhaltung im Dialog;10.1007/s00003-024-01483-y
Arbeitspaket 1: Monitoring der gesellschaftlichen Akzeptanz der Nutztierhaltung;10.1007/s00003-024-01485-w
Does intense tax competition boost public acceptance for inter-municipal cooperation? Evidence from a survey among German citizens and local politicians;10.1080/17487870.2024.2333306
Effects of tire wear particles on the water retention of soils with different textures in the full moisture range;10.1016/j.jconhyd.2024.104345
From plate to waste: Composition of school meal waste and associated carbon footprint and nutrient loss;10.1016/j.resconrec.2024.107656
"Working Group on Social Indicators (WGSOCIAL; outputs from 2023 meeting)";10.17895/ices.pub.25611624
Personality and regional innovativeness: An empirical analysis of German patent data;10.1016/j.respol.2024.105006
Immediate effects of wheeling with agricultural machinery on topsoil gas transport properties and their anisotropy;10.1016/j.still.2024.106126
Quecksilber in Fischen aus der Nord- und Ostsee (2017) [Datenpublikation];10.3220/DATA20240410104421-0
Quecksilber in Fischen aus der Nord- und Ostsee (2018) [Datenpublikation];10.3220/DATA20240410111136-0
Quecksilber in Fischen aus der Nord- und Ostsee (2019) [Datenpublikation];10.3220/DATA20240410122832-0
Quecksilber in Fischen aus der Nord- und Ostsee (2020) [Datenpublikation];10.3220/DATA20240410124347-0
Quecksilber in Fischen aus der Nord- und Ostsee (2021) [Datenpublikation];10.3220/DATA20240410154416-0
Temporal trends of mercury levels in fish (dab, Limanda limanda) and sediment from the German Bight (North Sea) in the period 1995–2020 [Datenpublikation];10.3220/DATA20240410173308-0
Quecksilber in Fischen aus der Nord- und Ostsee (2023) [Datenpublikation];10.3220/DATA20240410161007-0
Lebensverhältnisse in ländlichen Räumen - Bewertungen Befragter zu ihrer Gegend: Inhaltliche und methodische Analysen auf Grundlage einer repräsentativen Bevölkerungsbefragung;10.3220/REP1714137703000
Länderübergreifender Bericht der regionalen Fallstudien zur Förderung von LEADER und weiteren ELER-Maßnahmen der ländlichen Entwicklung : Bericht zur Förderperiode 2014-2020 (verlängert bis 2022) in den Ländern Hessen, Niedersachsen, Nordrhein-Westfalen und Schleswig-Holstein;10.3220/5LE1714470902000
Considering grouped or individual non-methane volatile organic compound emissions in life cycle assessment of composting using three life cycle impact assessment methods;10.3390/recycling9030035
Ökonomische Analysen von Tierwohlmaßnahmen im Projekt InnoRind;10.3220/PB1714634610000
Rahmenbedingungen und Optionen für eine tier- und umweltgerechte Schweinehaltung;10.24355/dbbs.084-202401171552-0
Freiwilliges Engagement im Spiegel räumlicher und sozialer Ungleichheit;10.3220/PB1712042986000
